LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738272260.481034,1229888.000,55497,1,TL,1,100,2025-01-30_14-24-15-485768
1738272260.501034,1229908.000,55500,1,TL,1,100,2025-01-30_14-24-20-490905
1738272265.597188,1235004.000,56290,1,TL,1,100,2025-01-30_14-24-20-625025
1738272265.613189,1235020.000,56293,1,TL,1,100,2025-01-30_14-24-25-606355
1738272270.715343,1240122.000,57089,1,TL,1,100,2025-01-30_14-24-25-742252
1738272270.735343,1240142.000,57092,1,TL,1,100,2025-01-30_14-24-30-723879
1738272275.839497,1245246.000,57882,1,TL,1,100,2025-01-30_14-24-31-024709
1738272280.965652,1250372.000,58676,1,TL,1,100,2025-01-30_14-24-36-057971
1738272280.967652,1250374.000,58678,1,TL,1,100,2025-01-30_14-24-36-062313
1738272281.067655,1250474.000,58681,1,TL,1,100,2025-01-30_14-24-41-052057
1738272286.100807,1255507.000,59474,1,TL,1,100,2025-01-30_14-24-41-108570
1738272286.125808,1255532.000,59477,1,TL,1,100,2025-01-30_14-24-46-114333
1738272291.218961,1260625.000,60265,1,TL,1,100,2025-01-30_14-24-46-242526
1738272291.233962,1260640.000,60268,1,TL,1,100,2025-01-30_14-24-51-226441
1738272296.341116,1265747.000,61060,1,TL,1,100,2025-01-30_14-24-51-369659
1738272296.419118,1265825.000,61063,1,TL,1,100,2025-01-30_14-24-56-361573
1738272301.479271,1270885.000,61856,1,TL,1,100,2025-01-30_14-24-56-496826
1738272301.502271,1270908.000,61859,1,TL,1,100,2025-01-30_14-25-01-494307
1738272306.607425,1276013.000,62645,1,TL,1,100,2025-01-30_14-25-01-627657
1738272306.623426,1276029.000,62648,1,TL,1,100,2025-01-30_14-25-06-615662
1738272311.727580,1281133.000,63441,1,TL,1,100,2025-01-30_14-25-06-755147
1738272311.750580,1281156.000,63444,1,TL,1,100,2025-01-30_14-25-11-738732
1738272316.845734,1286251.000,64237,1,TL,1,100,2025-01-30_14-25-11-879374
1738272321.970889,1291376.000,65032,1,TL,1,100,2025-01-30_14-25-17-014673
1738272321.976889,1291382.000,65034,1,TL,1,100,2025-01-30_14-25-17-018698
1738272322.047891,1291453.000,65037,1,TL,1,100,2025-01-30_14-25-22-038373
